date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2008-02-20,Đồng Nai,74328,97679,98877,"30309, 82794","64929, 03740, 39571, 30032, 97034, 81236, 88762",5026,"5998, 5093, 2636",408,98
2008-02-21,An Giang,77855,62545,58233,"34814, 67854","55440, 57338, 22472, 38903, 05509, 32670, 11874",7637,"7441, 8450, 4690",483,52
2008-02-21,Bình Thuận,58300,86854,54319,"79256, 74804","63327, 40026, 34625, 13153, 49530, 26066, 47234",7441,"8806, 8944, 9919",258,03
2008-02-21,Tây Ninh,12647,22985,07738,"13343, 42367","37879, 26225, 45072, 99951, 86905, 46428, 83537",8288,"8518, 8850, 2800",251,77
2008-02-22,Bình Dương,095995,91375,32646,"03964, 65460","61223, 13553, 50681, 21519, 20151, 45086, 69628",4393,"4610, 9364, 6511",606,91
2008-02-22,Trà Vinh,00980,25772,33859,"11031, 47934","25270, 17779, 20851, 17649, 76274, 17081, 81459",5992,"0719, 3576, 6494",257,66
2008-02-22,Vĩnh Long,90933,29696,79142,"85485, 37669","63770, 06277, 89759, 79120, 07439, 03254, 84764",7155,"7224, 9757, 1734",944,44
2008-02-23,Bình Phước,97937,48114,18876,"89848, 76129","67398, 16132, 64231, 71579, 35590, 35280, 01076",5892,"0395, 5183, 3829",720,09
2008-02-23,Hậu Giang,89426,60193,56090,"91664, 57316","05619, 08644, 34006, 11822, 71878, 99256, 79422",6678,"3543, 9687, 5148",546,16
2008-02-23,Hồ Chí Minh,93445,91097,31264,"22550, 36974","42513, 59152, 59458, 82556, 10126, 22782, 10806",6753,"1168, 4262, 2509",051,18
2008-02-23,Long An,75814,01753,07598,"00488, 33130","75773, 11375, 84486, 30797, 27980, 63447, 67820",8721,"4521, 9647, 6423",417,85
2008-02-24,Kiên Giang,59295,37057,70126,"19604, 46949","63963, 98870, 94035, 88268, 63854, 39916, 38483",8300,"9162, 1599, 4946",484,93
2008-02-24,Tiền Giang,19825,62017,33778,"80763, 64022","61361, 65787, 91141, 00067, 35006, 43127, 82104",9945,"5266, 8600, 6162",931,84
2008-02-24,Đà Lạt,23520,11828,64267,"10068, 90518","47663, 56369, 38644, 64530, 86774, 85509, 43998",3001,"5360, 4460, 9619",446,52
2008-02-25,Cà Mau,64839,04995,73263,"18446, 23754","77126, 50490, 96659, 08921, 41218, 91292, 07988",1885,"3172, 5265, 3409",820,40
2008-02-25,Hồ Chí Minh,19978,05014,10469,"19667, 64762","43694, 65770, 84757, 45135, 96391, 86220, 87199",8504,"1382, 3758, 6774",114,08
2008-02-25,Đồng Tháp,10679,19664,68901,"98699, 96663","45797, 74730, 15486, 67348, 15950, 09264, 80759",6869,"8461, 0618, 0905",746,75
2008-02-26,Bạc Liêu,01610,64671,00055,"05921, 58976","46863, 58258, 23529, 72276, 37973, 44253, 80473",2422,"8300, 3976, 6791",279,22
